"","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"a5",1,0.58211280924793,0.678378585239886,0.450033755867215,0.551092773692239,0.411477415714695,0.476282184143843,0.413682893864153,0.605427313129055,0.454006342174247,0.423609211438156,0.14372286633696,0.194676446687069,0.21171814538009,0.185344133444225,0.0280973196458414,0.185030734359408,0.161725578451727,0.0620964561532135,0.15393625807296,-0.0409606459014927,0.102534123312022,0.11683048728435,-0.0382479671175115
"a6",0.58211280924793,1,0.618238464568359,0.437234471433731,0.567987763475757,0.459788185320273,0.446863719388532,0.38529988523215,0.522541317408449,0.414628141717719,0.360753250256678,0.106925195486215,0.170446139619853,0.170597804732567,0.156598684169662,0.0155841966750693,0.158655558823357,0.166712471325266,0.107432677727619,0.132306147466057,-0.0369200281289395,0.134652870665971,0.09796541379236,-0.0599437103894714
"b1",0.678378585239886,0.618238464568359,1,0.506105145787727,0.606723818985969,0.464565291820733,0.523643016430982,0.454204341597872,0.616160355834393,0.471298142852498,0.467264158090039,0.139655482843765,0.189790183597541,0.211674837931676,0.192578296495822,0.0486000104130055,0.198389796808527,0.189974033515412,0.0978980132202316,0.167840163328343,-0.0354484097885922,0.112654543517226,0.079096588318789,-0.0379250685807013
"b2",0.450033755867215,0.437234471433731,0.506105145787727,1,0.537699447513951,0.451108132358986,0.469478639411775,0.39441881053531,0.450126140372941,0.383292871207783,0.357883471833464,0.099605647096875,0.156370120673252,0.134193691539318,0.12934747969125,0.0454984294280621,0.132049108528659,0.147447804966839,0.108297593008738,0.0930379911941102,-0.0519992112663537,0.0949233628069387,-0.00384041340722767,-0.0504551631406038
"b3",0.551092773692239,0.567987763475757,0.606723818985969,0.537699447513951,1,0.568487402250071,0.488242491393687,0.439447387220045,0.609329508523598,0.450246254743541,0.37587851648823,0.0969535645153406,0.141593596484696,0.185746318390356,0.13637048081904,0.0368055756261105,0.126192825501111,0.128552119138471,0.0365417495529059,0.127036348044767,0.0272444753357553,0.197234559597842,0.0981309217807948,0.0459680141500258
"b4",0.411477415714695,0.459788185320273,0.464565291820733,0.451108132358986,0.568487402250071,1,0.440297285099804,0.431913601642839,0.444259997388917,0.358870048309677,0.315912906418519,0.0878501334511772,0.119250183430364,0.121454527165134,0.140047078081703,0.0270672187758885,0.0913065812283476,0.116731456307064,0.0722061484598365,0.0739392791819632,-0.0457705119426131,0.112662159499076,0.0797679001839155,-0.0360394233515873
"b5",0.476282184143843,0.446863719388532,0.523643016430982,0.469478639411775,0.488242491393687,0.440297285099804,1,0.464834143992456,0.514757830944307,0.434137721014589,0.429713784928031,0.160863975086364,0.205047105480944,0.213398600749698,0.183458782047708,0.0683707241157358,0.211094069267375,0.206696942450549,0.125163390011219,0.129661992616006,-0.0226201481917155,0.10980197957811,-0.00805846844020738,-0.0326837969095175
"b6",0.413682893864153,0.38529988523215,0.454204341597872,0.39441881053531,0.439447387220045,0.431913601642839,0.464834143992456,1,0.524902398906465,0.425036349409676,0.475883773466768,0.172870997883392,0.148295411749097,0.195176931102725,0.203351147190554,0.126112103260049,0.199952277630425,0.144429182201017,0.0615065362245983,0.146050062035532,0.0337479357946223,0.010864367129557,0.0386533675586385,0.0661379231658474
"b7",0.605427313129055,0.522541317408449,0.616160355834393,0.450126140372941,0.609329508523598,0.444259997388917,0.514757830944307,0.524902398906465,1,0.500755273031502,0.458894462571538,0.200414491147432,0.217467701131586,0.260980834835655,0.227312305937437,0.106959283274363,0.25263097024937,0.169700214479895,0.0889495996951159,0.193027772513276,0.0234994296895572,0.156378118902473,0.0769701250851792,0.0515184377868832
"b8",0.454006342174247,0.414628141717719,0.471298142852498,0.383292871207783,0.450246254743541,0.358870048309677,0.434137721014589,0.425036349409676,0.500755273031502,1,0.396067192974118,0.10328729040514,0.125598755759349,0.171369976922276,0.133073125760635,0.0464522900506468,0.203193823805019,0.138249688277813,0.049608175100922,0.128386884208491,0.0513750888300223,0.0482784991193347,0.0372027404915976,0.0903777796403521
"b9",0.423609211438156,0.360753250256678,0.467264158090039,0.357883471833464,0.37587851648823,0.315912906418519,0.429713784928031,0.475883773466768,0.458894462571538,0.396067192974118,1,0.171651570996897,0.176467875846806,0.222732006427227,0.239745574812337,0.112111148505619,0.187576217149214,0.180817511960643,0.0901254824766909,0.137286733628156,-0.0319241517532049,0.0422743524854612,0.0422569991305329,-0.0582991469259618
"c1",0.14372286633696,0.106925195486215,0.139655482843765,0.099605647096875,0.0969535645153406,0.0878501334511772,0.160863975086364,0.172870997883392,0.200414491147432,0.10328729040514,0.171651570996897,1,0.494426991068236,0.462252699753584,0.440525314377616,0.413243432118455,0.296630001048795,0.26475086297782,0.251367661489135,0.332781814952191,-0.0590571848696023,-0.137543032698495,0.0377092289334646,-0.140775781853234
"c2",0.194676446687069,0.170446139619853,0.189790183597541,0.156370120673252,0.141593596484696,0.119250183430364,0.205047105480944,0.148295411749097,0.217467701131586,0.125598755759349,0.176467875846806,0.494426991068236,1,0.600219804833258,0.368922114125748,0.303992305613724,0.385111010465043,0.270134417156755,0.220238469585641,0.378530441444463,-0.0650291311652266,-0.0249435190284129,0.0401844301787413,-0.177755437688312
"c3",0.21171814538009,0.170597804732567,0.211674837931676,0.134193691539318,0.185746318390356,0.121454527165134,0.213398600749698,0.195176931102725,0.260980834835655,0.171369976922276,0.222732006427227,0.462252699753584,0.600219804833258,1,0.464748645956356,0.272152343436068,0.441040243815167,0.324948220510549,0.196383364480622,0.403568429371637,-0.0361677530206724,0.00702370432028935,0.00692051020127397,-0.101663694647633
"c4",0.185344133444225,0.156598684169662,0.192578296495822,0.12934747969125,0.13637048081904,0.140047078081703,0.183458782047708,0.203351147190554,0.227312305937437,0.133073125760635,0.239745574812337,0.440525314377616,0.368922114125748,0.464748645956356,1,0.275185773779196,0.293648434320717,0.277591418937735,0.230238086189784,0.296344789987589,-0.0477154793232802,-0.046874497012505,-0.00760774981225495,-0.0831403713518684
"c5",0.0280973196458414,0.0155841966750693,0.0486000104130055,0.0454984294280621,0.0368055756261105,0.0270672187758885,0.0683707241157358,0.126112103260049,0.106959283274363,0.0464522900506468,0.112111148505619,0.413243432118455,0.303992305613724,0.272152343436068,0.275185773779196,1,0.234981950188096,0.135476070594114,0.1566657381162,0.261307602430784,0.0383077227289917,-0.135679217006339,-0.00342666432648486,0.0523485288687227
"c6",0.185030734359408,0.158655558823357,0.198389796808527,0.132049108528659,0.126192825501111,0.0913065812283476,0.211094069267375,0.199952277630425,0.25263097024937,0.203193823805019,0.187576217149214,0.296630001048795,0.385111010465043,0.441040243815167,0.293648434320717,0.234981950188096,1,0.337029158411974,0.214372230097125,0.320077710545834,0.0376262846919872,-0.0128703364554935,-0.0665189153886189,0.0522326607597826
"c7",0.161725578451727,0.166712471325266,0.189974033515412,0.147447804966839,0.128552119138471,0.116731456307064,0.206696942450549,0.144429182201017,0.169700214479895,0.138249688277813,0.180817511960643,0.26475086297782,0.270134417156755,0.324948220510549,0.277591418937735,0.135476070594114,0.337029158411974,1,0.486741295729232,0.2013445036407,-0.070914572373005,0.0374266310429935,-0.0292377441474664,-0.139292142495831
"c8",0.0620964561532135,0.107432677727619,0.0978980132202316,0.108297593008738,0.0365417495529059,0.0722061484598365,0.125163390011219,0.0615065362245983,0.0889495996951159,0.049608175100922,0.0901254824766909,0.251367661489135,0.220238469585641,0.196383364480622,0.230238086189784,0.1566657381162,0.214372230097125,0.486741295729232,1,0.166702567764363,-0.0993038483464968,0.0280252925719241,-0.0795556912172416,-0.198807777074249
"c9",0.15393625807296,0.132306147466057,0.167840163328343,0.0930379911941102,0.127036348044767,0.0739392791819632,0.129661992616006,0.146050062035532,0.193027772513276,0.128386884208491,0.137286733628156,0.332781814952191,0.378530441444463,0.403568429371637,0.296344789987589,0.261307602430784,0.320077710545834,0.2013445036407,0.166702567764363,1,0.0489775066463562,-0.0513002576727072,0.0293367541284928,0.0306850833430035
"marrgp",-0.0409606459014927,-0.0369200281289395,-0.0354484097885922,-0.0519992112663537,0.0272444753357553,-0.0457705119426131,-0.0226201481917155,0.0337479357946223,0.0234994296895572,0.0513750888300223,-0.0319241517532049,-0.0590571848696023,-0.0650291311652266,-0.0361677530206724,-0.0477154793232802,0.0383077227289917,0.0376262846919872,-0.070914572373005,-0.0993038483464968,0.0489775066463562,1,0.0341248315219087,0.0731823696495853,0.468557095883985
"incogp",0.102534123312022,0.134652870665971,0.112654543517226,0.0949233628069387,0.197234559597842,0.112662159499076,0.10980197957811,0.010864367129557,0.156378118902473,0.0482784991193347,0.0422743524854612,-0.137543032698495,-0.0249435190284129,0.00702370432028935,-0.046874497012505,-0.135679217006339,-0.0128703364554935,0.0374266310429935,0.0280252925719241,-0.0513002576727072,0.0341248315219087,1,-0.151194890366401,0.0620746444565928
"sexgp",0.11683048728435,0.09796541379236,0.079096588318789,-0.00384041340722767,0.0981309217807948,0.0797679001839155,-0.00805846844020738,0.0386533675586385,0.0769701250851792,0.0372027404915976,0.0422569991305329,0.0377092289334646,0.0401844301787413,0.00692051020127397,-0.00760774981225495,-0.00342666432648486,-0.0665189153886189,-0.0292377441474664,-0.0795556912172416,0.0293367541284928,0.0731823696495853,-0.151194890366401,1,-0.0242613301052598
"agegp",-0.0382479671175115,-0.0599437103894714,-0.0379250685807013,-0.0504551631406038,0.0459680141500258,-0.0360394233515873,-0.0326837969095175,0.0661379231658474,0.0515184377868832,0.0903777796403521,-0.0582991469259618,-0.140775781853234,-0.177755437688312,-0.101663694647633,-0.0831403713518684,0.0523485288687227,0.0522326607597826,-0.139292142495831,-0.198807777074249,0.0306850833430035,0.468557095883985,0.0620746444565928,-0.0242613301052598,1
