"","agri","forest","traffic","water","building","gov","leisure","mine","other","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"agri",1,-0.208817068004755,-0.0307948273056457,0.148450757217632,0.00480017909765118,-0.00701153440702288,-0.224934037684854,0.455559732978119,0.659690689304826,-0.0199847590324127,0.0260060050405661,-0.0261525643284639,-0.0152882101772437,0.0143460533136485,-0.00431977330830901,-0.00694169384849627,-0.0114969962233333,-0.00968983302967841,-0.0103514778612436,0.0128426079276128,0.0258872977205078,0.0193911079867463,0.0183316867414315,0.00126832477213428,7.741340969471e-05,0.00258732946346107,0.0137413323986674,0.0179663070217176,0.0375152461954502,0.0289693143078075,-0.00728254729427876,-0.0119062927523624,0.0274386034615404
"forest",-0.208817068004755,1,-0.347573472068164,-0.100825169942918,-0.351255244214115,-0.160592786808668,-0.170472046140689,-0.00420314874209778,-0.129984891464874,-0.00656526645692681,0.0141372077644504,-0.00431492992369007,-0.0024764874510656,0.0109620083783634,-0.0139839278203178,0.0175868509756021,-0.00718640135977681,0.00781867461950696,0.0218483166520789,0.0443910312964027,0.0136170672676769,0.00920754877524017,0.0406114460513647,0.0635811913595356,-0.00507681405850334,0.0166794302779915,-0.0185406720651465,-0.0257769869010305,-0.000917854106792638,-0.0029097763788075,-0.0264093434681014,-0.0291291683015927,0.0116114202737109
"traffic",-0.0307948273056457,-0.347573472068164,1,0.300999034030734,0.823321369036486,0.599924573410899,0.486268636557067,0.0170835706897583,0.334071820136452,0.0137222055666331,0.00302991498599904,-0.0108239368556201,-0.0153539957615745,-0.00720434520192448,0.00754564843334412,-0.0115718540208525,-0.00864010993972634,0.0229080755784028,-0.0113640696986229,-0.031111046316654,-0.0138377795207779,-0.00030355436381029,-0.0166846598686642,-0.0385894400277684,-0.0267733811069638,-0.0334728878318179,-0.0274459834242983,0.00350958362864533,-0.0126608356280257,-0.0355870237128541,0.00258914761562114,0.00130677850940796,-0.0303869337478612
"water",0.148450757217632,-0.100825169942918,0.300999034030734,1,0.160025630980139,0.255334928203696,0.154545172654871,0.217585976804994,0.354697077409392,0.00710074653990971,0.0299865793462814,-0.0208865924326756,-0.0201812653032166,0.0144659008219195,0.0105018227752172,0.0156576799063773,0.0141285444576879,0.00324588656038479,0.013301679342141,0.00492525495649601,0.0184440544540953,0.0169120595763439,0.0361123831460815,-0.0298383658323048,0.00548521650071705,-0.0257666182428047,0.00873801288846864,0.00508982428409044,0.035483373146662,0.0114430118772778,-0.0069279931692719,-0.0174877905697664,0.0152629613919517
"building",0.00480017909765118,-0.351255244214115,0.823321369036486,0.160025630980139,1,0.650167177578568,0.386033922436516,0.0577030928608162,0.370148540053759,0.00271492064101435,-0.00274593781433595,-0.0079954148347477,-0.0191179558299153,-0.00961867993771049,0.00177363874877261,-0.0167468194828784,-0.00886758942092585,0.0102033290175904,-0.0127981163923906,-0.0319105506402534,-0.0105279446249184,-0.015049668095839,-0.0287794297584089,-0.0529407864681061,-0.0149935437759578,-0.0205266117137009,-0.0273862970621875,0.00102352149823098,-0.0136873556623815,-0.0244632453170091,0.011116533223951,0.0154266353567339,-0.0482335713527885
"gov",-0.00701153440702288,-0.160592786808668,0.599924573410899,0.255334928203696,0.650167177578568,1,0.421390088695096,0.147472894009747,0.25219575870617,0.0099273227023069,0.0169226077828646,-0.00552814083962099,-0.0136756712418437,0.0139447394680018,0.0173386005212723,0.00871625192092958,0.0286621884593397,0.0255641900602941,0.0163737511277782,0.00158130687636808,0.0246987982823404,0.0101362000126679,0.0111410392235093,0.016508279056977,-0.00882306047795697,-0.0237869249112612,-0.0125049300208075,0.00621648701357777,0.0122291118182148,-0.0219516432778777,0.022133458914439,-0.00588580881143534,-0.00492202883302884
"leisure",-0.224934037684854,-0.170472046140689,0.486268636557067,0.154545172654871,0.386033922436516,0.421390088695096,1,-0.0774109058537793,0.0282386857021312,-0.00041923485986857,-0.00148715182047705,0.0062399577893479,-0.0162124595545944,0.00115666196168191,0.0290600449290809,0.00858094210772978,0.00733385122209504,0.0268038157274061,-0.0112836343053322,-0.00379146019624707,-0.0123031310771481,-0.0158597347448504,-0.00720571424617621,-0.00290350428039567,-0.0175727093552163,-0.0041294934479236,0.0108619363179696,-0.000683985892639381,-0.0039312128219804,0.000556946592864869,0.0115547836842537,0.013575718132457,-0.0158122700435927
"mine",0.455559732978119,-0.00420314874209778,0.0170835706897583,0.217585976804994,0.0577030928608162,0.147472894009747,-0.0774109058537793,1,0.508893232925852,-0.000375754057488346,0.0488710599255875,-0.0377114586054492,-0.0409889217724606,0.0374966048136355,0.0136305639656314,0.0415685877594855,0.016162515208236,0.0152468358820038,0.0454594264301535,0.0559541682657649,0.053369976115699,0.0285600532136907,0.071031412526,0.0285964382677187,-0.0183823877229463,0.011115218039765,-0.00176152913098307,-0.030506632140333,0.0202432142780214,0.0331382037999973,0.019584400078311,-0.0131449816943365,0.00970834534373308
"other",0.659690689304826,-0.129984891464874,0.334071820136452,0.354697077409392,0.370148540053759,0.25219575870617,0.0282386857021312,0.508893232925852,1,-0.0257919967850264,0.0357732465031036,-0.0384710571449397,-0.0376319005989433,0.015670819344902,0.0143505877572504,0.0139242764028412,-0.012062141836187,0.0137539237500073,-0.0160694713976164,0.0227616920709119,0.0308063464296872,0.0287273652574712,0.0368196104766343,-0.00488723722235638,-0.0236363688372222,-0.0281848647708536,-0.0048843762128338,0.00699535227760053,-0.00297582251835879,0.0120273225648547,-0.00634627513022353,-0.0171862868901462,0.0074180139899263
"a1",-0.0199847590324127,-0.00656526645692681,0.0137222055666331,0.00710074653990971,0.00271492064101435,0.0099273227023069,-0.00041923485986857,-0.000375754057488346,-0.0257919967850264,1,0.215163852524434,-0.186059405015254,-0.209762526107579,0.222662519599048,0.21851977798681,0.215963841170584,0.1702925979767,0.190100251803105,0.192509608851226,0.260682362363577,0.176366447431662,0.245190479262475,0.158808673683172,0.185235140158964,0.172070419492729,0.222860337355077,0.252229997502108,0.188574729330105,0.0830289226535687,0.216826851703086,0.224053531506932,0.183632785831221,0.170202581795869
