"","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"a5",1,0.532076623231875,0.797862141068025,0.60026396831695,0.517438473046132,0.455907246816867,0.200851350458462,0.613877362482787,0.683731062033596,0.464452155328842,0.585063255964075,0.262187701898554,0.243205924648512,0.352008839488602,0.225538322328513,0.132669941071448,0.241658292160276,0.253197385514801,0.178910488912508,0.219552337568259,0.197818696947204,0.18025292566071,0.0445163480659711,-0.0210086376033558
"a6",0.532076623231875,1,0.632123044147497,0.440377945675028,0.426217189663561,0.387528402954941,0.237993153848505,0.326858844871846,0.474359555480586,0.310586636908644,0.259387460481126,0.144772956028343,0.306090469684159,0.19659879831322,0.10126154028766,-0.0267300958148203,0.134666767441751,0.301862549990421,0.249118486793712,0.276468108744568,0.139971103457645,0.172615905423798,-0.000735242442604466,-0.148215372733823
"b1",0.797862141068025,0.632123044147497,1,0.652643034304572,0.626774068656058,0.474853033733268,0.328535689996091,0.649038520787322,0.694537990239032,0.51522894575209,0.619684218052221,0.385632342982533,0.368487590937995,0.41663890598224,0.27680741291937,0.0440802839620969,0.314025923333318,0.287952182507533,0.26085691720822,0.336929114174578,0.130708506193466,0.179945310313762,-0.0221450288062169,-0.0749695441487299
"b2",0.60026396831695,0.440377945675028,0.652643034304572,1,0.594132371748806,0.474246298308043,0.410647570462517,0.521438685991807,0.566269848363906,0.448543958805421,0.590180551441335,0.231232072037672,0.355078011402134,0.276345573149417,0.0957303080359234,0.0906300090384519,0.330372273194014,0.25563420285432,0.207317426091951,0.297772041114174,0.115806932423428,0.110337737737816,-0.0356760720551025,-0.0457055895940845
"b3",0.517438473046132,0.426217189663561,0.626774068656058,0.594132371748806,1,0.561562634548732,0.353032981252366,0.552208549414844,0.655764573036525,0.413100200740855,0.506488043163639,0.214464256295425,0.225155834826899,0.221945201290388,0.0330916824720406,0.0654133825251097,0.106008735924118,0.168617909212574,0.0890666859716696,0.212649692053313,0.122949854504963,0.162346848482954,0.00205799008757056,0.0344839657039833
"b4",0.455907246816867,0.387528402954941,0.474853033733268,0.474246298308043,0.561562634548732,1,0.442203736259529,0.442270571605816,0.39573674903484,0.379424461813757,0.508050732108528,0.276897638685273,0.0817895323036643,0.205991486140264,-0.0116258800124403,0.0870583718936623,0.113343684103285,0.119870774183297,0.0733586607067627,0.123695471131598,0.105873251789656,0.117856115957749,-0.0605312282369427,-0.0389017055407056
"b5",0.200851350458462,0.237993153848505,0.328535689996091,0.410647570462517,0.353032981252366,0.442203736259529,1,0.380896733925658,0.302429245216457,0.348386875009314,0.391866538909908,0.137869618927439,0.153809779297959,0.140936134709654,0.0691640475104719,0.164793646681374,0.407517534078912,0.208583078427808,0.10038168354636,0.100242069792366,0.0449094717119274,0.010017083718803,0.0521636503327164,0.0123414670824754
"b6",0.613877362482787,0.326858844871846,0.649038520787322,0.521438685991807,0.552208549414844,0.442270571605816,0.380896733925658,1,0.670475623745521,0.525757287729555,0.649162386114012,0.278592198367617,0.203907972834801,0.377915824259605,0.144096956170367,0.156018252936122,0.38690506719605,0.118253059269932,0.0567363014057816,0.229926607456449,0.212323961645102,-0.048447845860964,0.0554560260628308,0.230453660919322
"b7",0.683731062033596,0.474359555480586,0.694537990239032,0.566269848363906,0.655764573036525,0.39573674903484,0.302429245216457,0.670475623745521,1,0.557829523617236,0.578582658045038,0.271100073062553,0.313526390659336,0.360642635633684,0.128322284999285,0.109909038053487,0.236575283196909,0.0878193075366763,0.0157126406437073,0.40686893023163,0.12248371329598,0.063669373003431,0.126993966399979,0.111708262544766
"b8",0.464452155328842,0.310586636908644,0.51522894575209,0.448543958805421,0.413100200740855,0.379424461813757,0.348386875009314,0.525757287729555,0.557829523617236,1,0.411701557423477,0.194533418010409,0.27134770704642,0.348904441335395,0.139168783886478,0.104853775635538,0.39404075812204,0.184461867583113,0.0846805570610281,0.285083911347695,0.233475536690827,0.0735827449278373,0.0203688226590602,0.283304013691733
"b9",0.585063255964075,0.259387460481126,0.619684218052221,0.590180551441335,0.506488043163639,0.508050732108528,0.391866538909908,0.649162386114012,0.578582658045038,0.411701557423477,1,0.388317126329565,0.314478446801499,0.514741389321498,0.27074322285361,0.250426962305184,0.28723571830801,0.11261286493216,0.137926171638531,0.314614229086502,0.112970163614828,0.0330773302339367,0.0652098125157399,0.0060003070557053
"c1",0.262187701898554,0.144772956028343,0.385632342982533,0.231232072037672,0.214464256295425,0.276897638685273,0.137869618927439,0.278592198367617,0.271100073062553,0.194533418010409,0.388317126329565,1,0.619794112246954,0.548698765323639,0.381013409187514,0.411168574161566,0.457643084071013,0.413099163664073,0.308534518712468,0.468739918087924,0.0483120287761962,-0.0812705865259094,0.0341475570649531,-0.0870225408408073
"c2",0.243205924648512,0.306090469684159,0.368487590937995,0.355078011402134,0.225155834826899,0.0817895323036643,0.153809779297959,0.203907972834801,0.313526390659336,0.27134770704642,0.314478446801499,0.619794112246954,1,0.587708388905874,0.393509843389646,0.298800833983099,0.478611756179099,0.451884380462041,0.408880140925727,0.466429276251153,0.112747894429438,-0.0184359181802308,0.016450632912921,-0.105914644873294
"c3",0.352008839488602,0.19659879831322,0.41663890598224,0.276345573149417,0.221945201290388,0.205991486140264,0.140936134709654,0.377915824259605,0.360642635633684,0.348904441335395,0.514741389321498,0.548698765323639,0.587708388905874,1,0.551344640188312,0.356111315596961,0.462277489404705,0.43308854001672,0.403095608433694,0.569707278185587,0.177856288223638,-0.00810059727208996,-0.0456340705198571,0.0590085166714028
"c4",0.225538322328513,0.10126154028766,0.27680741291937,0.0957303080359234,0.0330916824720406,-0.0116258800124403,0.0691640475104719,0.144096956170367,0.128322284999285,0.139168783886478,0.27074322285361,0.381013409187514,0.393509843389646,0.551344640188312,1,0.379870002288397,0.319809378192744,0.223069586484231,0.275558533272332,0.271077674846727,0.0811852706880814,0.117439998206219,-0.0877956579931892,0.0544183296494022
"c5",0.132669941071448,-0.0267300958148203,0.0440802839620969,0.0906300090384519,0.0654133825251097,0.0870583718936623,0.164793646681374,0.156018252936122,0.109909038053487,0.104853775635538,0.250426962305184,0.411168574161566,0.298800833983099,0.356111315596961,0.379870002288397,1,0.360194332215897,0.122478450540721,0.0718979772570856,0.188249263708043,0.0938181666211908,-0.183049150365572,-0.00225460373960047,0.269360006070116
"c6",0.241658292160276,0.134666767441751,0.314025923333318,0.330372273194014,0.106008735924118,0.113343684103285,0.407517534078912,0.38690506719605,0.236575283196909,0.39404075812204,0.28723571830801,0.457643084071013,0.478611756179099,0.462277489404705,0.319809378192744,0.360194332215897,1,0.410359865191575,0.288355408314078,0.361216650346174,0.18253046486597,-0.105078597980009,-0.173811142912741,0.246655219521945
"c7",0.253197385514801,0.301862549990421,0.287952182507533,0.25563420285432,0.168617909212574,0.119870774183297,0.208583078427808,0.118253059269932,0.0878193075366763,0.184461867583113,0.11261286493216,0.413099163664073,0.451884380462041,0.43308854001672,0.223069586484231,0.122478450540721,0.410359865191575,1,0.690822767565846,0.274587452507122,0.0859316806478871,0.111323531421915,-0.108517856043784,-0.0587390472991749
"c8",0.178910488912508,0.249118486793712,0.26085691720822,0.207317426091951,0.0890666859716696,0.0733586607067627,0.10038168354636,0.0567363014057816,0.0157126406437073,0.0846805570610281,0.137926171638531,0.308534518712468,0.408880140925727,0.403095608433694,0.275558533272332,0.0718979772570856,0.288355408314078,0.690822767565846,1,0.192547807505823,0.115724677784609,0.113715695370598,0.00137335949333411,-0.137752702145768
"c9",0.219552337568259,0.276468108744568,0.336929114174578,0.297772041114174,0.212649692053313,0.123695471131598,0.100242069792366,0.229926607456449,0.40686893023163,0.285083911347695,0.314614229086502,0.468739918087924,0.466429276251153,0.569707278185587,0.271077674846727,0.188249263708043,0.361216650346174,0.274587452507122,0.192547807505823,1,0.0870444896023257,-0.141194277721395,0.0209182122009929,0.006834426567733
"marrgp",0.197818696947204,0.139971103457645,0.130708506193466,0.115806932423428,0.122949854504963,0.105873251789656,0.0449094717119274,0.212323961645102,0.12248371329598,0.233475536690827,0.112970163614828,0.0483120287761962,0.112747894429438,0.177856288223638,0.0811852706880814,0.0938181666211908,0.18253046486597,0.0859316806478871,0.115724677784609,0.0870444896023257,1,0.211941384866561,-0.0258057802954048,0.455290168820244
"incogp",0.18025292566071,0.172615905423798,0.179945310313762,0.110337737737816,0.162346848482954,0.117856115957749,0.010017083718803,-0.048447845860964,0.063669373003431,0.0735827449278373,0.0330773302339367,-0.0812705865259094,-0.0184359181802308,-0.00810059727208996,0.117439998206219,-0.183049150365572,-0.105078597980009,0.111323531421915,0.113715695370598,-0.141194277721395,0.211941384866561,1,-0.121936194312212,0.115855241540505
"sexgp",0.0445163480659711,-0.000735242442604466,-0.0221450288062169,-0.0356760720551025,0.00205799008757056,-0.0605312282369427,0.0521636503327164,0.0554560260628308,0.126993966399979,0.0203688226590602,0.0652098125157399,0.0341475570649531,0.016450632912921,-0.0456340705198571,-0.0877956579931892,-0.00225460373960047,-0.173811142912741,-0.108517856043784,0.00137335949333411,0.0209182122009929,-0.0258057802954048,-0.121936194312212,1,-0.133896657356293
"agegp",-0.0210086376033558,-0.148215372733823,-0.0749695441487299,-0.0457055895940845,0.0344839657039833,-0.0389017055407056,0.0123414670824754,0.230453660919322,0.111708262544766,0.283304013691733,0.0060003070557053,-0.0870225408408073,-0.105914644873294,0.0590085166714028,0.0544183296494022,0.269360006070116,0.246655219521945,-0.0587390472991749,-0.137752702145768,0.006834426567733,0.455290168820244,0.115855241540505,-0.133896657356293,1
