"","agri","forest","traffic","water","building","gov","leisure","mine","other","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"agri",1,-0.206509597684323,0.0431482042704479,0.356830247543672,0.0772008327560744,-0.0498999010939102,-0.215787802121103,0.638098429279771,0.748624100003159,-0.0411077183001799,-0.150365308017742,-0.0614152281044058,-0.0641042753312775,-0.0131319986703875,-0.190012567723896,-0.14336999529129,-0.0272427399429741,-0.0785064440778177,0.0336589935156482,0.0696734271226812,-0.0818188032944906,-0.0463773771425218,-0.00487352034088065,0.0441486333820696,-0.0809371666160649,-0.00256938522826909,-0.0371019963571286,-0.149505149067025,0.0343057008837567,0.070019107337744,-0.142622736199273,-0.241401637958426,-0.00293066107764838
"forest",-0.206509597684323,1,-0.340927267248827,-0.252220623772236,-0.298470816282249,-0.167619101405488,-0.174471567752797,0.00543645776565025,-0.149314429531222,-0.0298384207717071,0.165915841266032,-0.0184933917413906,-0.0914910150010653,0.0551012165715378,0.059772312914068,0.174295231413209,0.0460189355662163,0.0733308917885567,-0.021911912249134,-0.00344397903464109,0.197025402969938,0.202853342735546,0.1333937963621,0.0884796126518228,-0.179552896049004,0.0237559211589889,0.0813108758442847,0.160251603613087,-0.156129727638077,-0.010115925606123,-0.199617920611236,-0.200744573726104,0.116522018862099
"traffic",0.0431482042704479,-0.340927267248827,1,0.152840610292774,0.819228377979162,0.722309612296689,0.368376313927139,0.0287943155685391,0.379852282016578,-0.0682269351212377,-0.127055684129435,-0.00194187292207303,-0.0308710642650375,-0.0763542170146349,0.00445920977259428,-0.180292417804253,-0.158914593051666,-0.0487614159409772,-0.0742274032565852,-0.136505976928232,-0.114959849224211,-0.0313031551168546,-0.166901926295166,-0.271393601003519,0.0219848509048705,-0.0426647004599799,-0.0960507893959462,-0.204465807858319,0.130825855065223,-0.0573826737341508,0.0133075962928047,0.0761478904246039,-0.121681649711314
"water",0.356830247543672,-0.252220623772236,0.152840610292774,1,0.146689104719435,0.0530798373838589,0.180384343317898,0.582949484613214,0.594454628877181,-0.0464192399277334,-0.116374083814242,0.167243918232413,0.150894771401816,-0.238876659153423,-0.0493483254913477,-0.167265392704807,-0.0451230671959312,-0.0396738278203306,-0.0974632564853846,0.0922982145803734,-0.138274571158916,-0.109087853579589,0.0399865477616784,-0.0532683953673251,0.0541628058779186,0.0676293987193245,0.0325547084822907,-0.062921350463924,-0.011741752829174,0.212929236129285,0.112805452916788,0.10176947599132,0.122250665459767
"building",0.0772008327560744,-0.298470816282249,0.819228377979162,0.146689104719435,1,0.717711021578863,0.210465238590779,0.0934916901698835,0.436483847465322,-0.155169573784679,-0.132295427097356,0.0504055325962662,0.016706632581569,-0.105926483000027,-0.0559588783953003,-0.202857789876643,-0.0936861827100925,-0.116694110713978,-0.0625482829238593,-0.15056394993068,-0.16286832670694,-0.0571897630491591,-0.191240503108444,-0.388529725043717,-0.0103428587484693,-0.0867687032051434,-0.153646737204021,-0.169002793626203,0.114774761349975,-0.0673405033526742,0.0490577999683838,0.0865449756557403,-0.146654017754521
"gov",-0.0498999010939102,-0.167619101405488,0.722309612296689,0.0530798373838589,0.717711021578863,1,0.611255712660708,-0.0189802986003757,0.218026999171946,-0.153175530548091,-0.0471430013972143,0.123060728973909,-0.00408931055802375,-0.0837956148630988,0.0338381126898686,-0.125688491701959,-0.0968760748502337,-0.0343529410316726,-0.10880275737512,-0.0957813908006952,-0.161271868774738,-0.029437538737371,-0.1775989823856,-0.196195527879998,0.0234572016475051,-0.0408565442582724,-0.0529617723293098,-0.117691612420005,0.133305019891112,-0.0713570757346208,0.0676032886531447,0.12820325548087,-0.112995333713546
"leisure",-0.215787802121103,-0.174471567752797,0.368376313927139,0.180384343317898,0.210465238590779,0.611255712660708,1,-0.106711863041812,-0.042817475333089,0.014605144405534,-0.00556314372597366,0.0748452484323589,-0.00753384720934991,-0.00290944592395776,0.0585077198553276,0.00595978118972777,-0.0315973830131543,0.0121845012583972,-0.137400173192743,-0.0565704422824676,-0.0177726546832765,-0.0254466126526433,-0.0160921036857344,-0.016004946006951,0.23439384314388,0.116683370781611,0.189889229074965,0.0849721999113816,0.164904418444387,0.121948240164732,0.164563368270962,0.201540507462854,0.035385365752648
"mine",0.638098429279771,0.00543645776565025,0.0287943155685391,0.582949484613214,0.0934916901698835,-0.0189802986003757,-0.106711863041812,1,0.774065780117858,-0.120263761074633,-0.144003723388804,-0.00772028090111514,-0.0519256927284319,-0.114281788507455,-0.113412370667332,-0.105851285373404,-0.0314757520248838,-0.137104722094443,-0.0760775813918257,-0.0178577214484747,-0.10160640384561,-0.130714496782234,-0.0559699761862878,0.0455464551622881,-0.0339409502470593,0.0948472907262121,0.0775552506100492,0.0679113963336381,0.037766707091725,0.0993160504286371,-0.067425177822013,-0.0658340121048264,0.0820899680148587
"other",0.748624100003159,-0.149314429531222,0.379852282016578,0.594454628877181,0.436483847465322,0.218026999171946,-0.042817475333089,0.774065780117858,1,-0.137109297622053,-0.141885570998298,-0.0241231699733492,-0.0591299072409331,-0.116169017884149,-0.166504624690245,-0.217412236020687,-0.0733932982154436,-0.155525682709382,-0.140045849085719,-0.0604016855579957,-0.133576140456065,-0.0481887095592786,-0.0436715888147143,-0.122635157631182,-0.120954567888547,-0.0441779502903231,-0.0105176651949363,-0.0718325169863101,0.0502359541046173,0.0511531878784094,-0.111830580249842,-0.111437925280137,0.0529157748561277
"a1",-0.0411077183001799,-0.0298384207717071,-0.0682269351212377,-0.0464192399277334,-0.155169573784679,-0.153175530548091,0.014605144405534,-0.120263761074633,-0.137109297622053,1,0.195943952370013,-0.132212262816577,-0.145494688887552,0.368052344945002,0.312542775181118,0.364658998202603,0.328170571778161,0.323821303921402,0.329450821400967,0.274552032540717,0.260226561584086,0.355156099640993,0.315035994918747,0.340913013428505,0.268715743951974,0.300478414701919,0.325663763193626,0.00819837393180434,0.177296367601328,0.194000037392301,0.305758918692259,0.271318435929694,0.202886957008761
