"","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"a5",1,0.543731870336685,0.795435919246051,0.557849789487018,0.675870449055773,0.275220574055935,0.744443443271423,0.53493052885787,0.685193485388878,0.620060052085325,0.582695388008565,0.253492780815203,0.165082218615054,0.250181186740743,-0.00609159737488945,-0.147705142971365,0.415855943342643,-0.0223034048149538,0.170520539237829,0.290630175235766,-0.0400100263693194,0.25877744489036,0.285777238749214,-0.051432670329783
"a6",0.543731870336685,1,0.555202236722399,0.407440836567275,0.316702862758279,0.373237101562599,0.616403461005904,0.711768807416253,0.606512307771174,0.603171910443264,0.594235735823435,0.00259538100991454,0.0660064123629594,0.161025489330856,-0.160318752963074,-0.414897449138602,0.301114872189312,0.291221416877413,0.441152168386463,0.0914943754567522,-0.462980459706891,0.369331925403637,0.0493122391883762,-0.205952109695065
"b1",0.795435919246051,0.555202236722399,1,0.634810211021317,0.631299979490655,0.123308991913006,0.76360228615092,0.515453270240675,0.647133192025234,0.5561483669511,0.611394090098146,0.28168666908651,0.137767873934543,0.035754326529694,-0.130224103355414,-0.157448998782335,0.306146637664355,-0.0718349519724393,0.165928660905676,0.098623927594528,-0.0270713035605397,0.239792333070581,0.31825176555447,-0.116504390815995
"b2",0.557849789487018,0.407440836567275,0.634810211021317,1,0.718465080201156,0.341203193398517,0.274394602098545,0.236470856762745,0.284614074057103,0.310450947216573,0.458881756546601,0.0251259453814803,0.0912870929175277,0.033167906340333,-0.320010240491546,-0.426006433615129,0.013653865341984,-0.205041561743082,-0.0693926900429092,0.0932378135033421,-0.23475197191215,0.208068951006391,0.238696481124063,-0.186338998124982
"b3",0.675870449055773,0.316702862758279,0.631299979490655,0.718465080201156,1,0.386108791264769,0.402208987144814,0.274553491925914,0.560346395472222,0.523151491548132,0.438434157401093,0.196474174934447,0.137274255071837,0.129679439590822,-0.132335477481948,-0.274548510143673,0.238173436700829,-0.0484525083326546,0.178344042393347,0.296188721252832,-0.0361221164703018,0.227608503315046,0.287154563365731,-0.156917543881777
"b4",0.275220574055935,0.373237101562599,0.123308991913006,0.341203193398517,0.386108791264769,1,0.17491535684203,0.108857404537282,0.154288322923815,0.516644286303717,0.0796184288934917,0.188730514906708,-0.0161339297022013,0.0498273473650266,0.0303999681170431,-0.23394198068192,-0.104369237488083,0.146249064444282,0.210166347280146,0.461403511230768,-0.13411778646646,0.239841157928448,0.39855444030299,-0.289812565653065
"b5",0.744443443271423,0.616403461005904,0.76360228615092,0.274394602098545,0.402208987144814,0.17491535684203,1,0.575406494802103,0.748916563671623,0.621385398072172,0.609685843062461,0.414468660957128,0.166342727260982,0.213919899943598,0.161892667835878,-0.0963036842037263,0.456351242765541,0.194538014266513,0.491267356464419,0.0698590942448698,-0.0623058169097635,0.319124138461904,0.17590821075506,-0.030380402068465
"b6",0.53493052885787,0.711768807416253,0.515453270240675,0.236470856762745,0.274553491925914,0.108857404537282,0.575406494802103,1,0.540975116848121,0.483248582025336,0.529019871497646,-0.0994864827571969,0.0451815427121612,0.0402194216759574,-0.041180242799074,-0.171689862306212,0.293289843395988,0.299375044834617,0.343451487924803,-0.122289630594748,-0.423680553239004,0.107764837965078,0.0683969568955728,-0.0737811502910392
"b7",0.685193485388878,0.606512307771174,0.647133192025234,0.284614074057103,0.560346395472222,0.154288322923815,0.748916563671623,0.540975116848121,1,0.59786237814446,0.535319310598826,0.199031653064711,0.0157199544750778,0.0756790799638581,0.0861044920773771,-0.220079362651089,0.279797921395859,-0.00819670175982155,0.515464976255887,0.355737987903215,-0.0230329086319447,0.259201552728237,0.140620189665285,-0.141188179893645
"b8",0.620060052085325,0.603171910443264,0.5561483669511,0.310450947216573,0.523151491548132,0.516644286303717,0.621385398072172,0.483248582025336,0.59786237814446,1,0.534723359479202,0.197212497524548,0.272584787982948,0.234158676754881,0.0423174771847473,-0.101245778393666,0.287724446343443,0.171806961808305,0.19590549433674,0.236151061339028,-0.0647410573572859,0.0329814014677508,0.554124245761909,-0.0969745527961441
"b9",0.582695388008565,0.594235735823435,0.611394090098146,0.458881756546601,0.438434157401093,0.0796184288934917,0.609685843062461,0.529019871497646,0.535319310598826,0.534723359479202,1,0.0809900812206273,0.0183907236064513,-0.0417625988115324,-0.0709162891009582,-0.202297959670964,0.14372468009584,0.178508409524915,0.303744469893676,-0.0874616791542493,-0.287608639099573,-0.0677440389935743,0.28599622431034,-0.227116439549996
"c1",0.253492780815203,0.00259538100991454,0.28168666908651,0.0251259453814803,0.196474174934447,0.188730514906708,0.414468660957128,-0.0994864827571969,0.199031653064711,0.197212497524548,0.0809900812206273,1,0.412861411922385,0.277513876040712,0.426953726659974,0.247716847153431,0.308759647345899,0.0728620635782456,0.245366012995729,0.195028793447004,0.454311293567669,-0.0545470682913979,0.284090909090909,0.185404962177392
