"","Group.1","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9","marrgp","incogp","sexgp","agegp"
"1",0,4.34131662066667,5.11763158266667,4.34131662066667,4.77355417633333,5.03232583033333,5.37640323666667,4.069157315,5.01893817866667,4.845472277,4.76016652466667,4.15446306733333,0.976556167,0.976556167,1.0365138145,1.4246712955,1.235327821,0.976556167,1.494099475,1.66756537666667,1.752871129,1.40879372266667,0,1.40879372266667,3.27660030433333
"2",5,5.193151078,4.91565493925,5.8044156635,5.26554722325,5.55050774175,5.46140555925,6.4274743575,5.48685220175,5.5286968025,4.0867210785,4.38297465325,2.4326820335,2.4326820335,2.4326820335,2.80680232133333,3.08130254366667,2.90220783175,3.1984614065,2.68459614333333,3.027741634,4.9400183295,5.82877905375,2.03398182125,6.688264459
"3",15,7.264037704,5.18859836,6.226318032,7.264037704,7.264037704,0,6.226318032,5.18859836,7.264037704,3.113159016,5.18859836,2.075439344,2.075439344,3.113159016,3.113159016,2.075439344,3.113159016,2.075439344,2.075439344,2.075439344,2.075439344,15.56579508,1.037719672,5.18859836
"4",25,5.222901475,4.5725087954,5.4482388008,4.6901570486,4.8260440798,4.3020008678,6.181038407,4.794540063,3.9251178596,5.1747948042,4.8273237684,1.709369706,1.4124957996,1.6964729904,1.8648282976,1.682633738,1.87866755,2.1557957626,1.709369706,1.333026408,2.2292174168,18.928480385,1.5142784308,3.392003444
"5",35,3.1519502815,5.5436260325,4.27841965816667,5.348435004,4.21446299983333,4.86958557416667,4.55007601083333,4.856840626,3.83308619166667,3.55691628033333,4.02359080616667,1.292665517,1.31667996066667,1.42643726566667,1.34399268533333,0.967129435833333,1.49946548166667,2.33710515416667,2.54390511883333,1.37743108416667,1.27806743766667,28.6565862741667,1.04957401616667,2.71910278266667
"6",45,5.410064529,4.808946248,5.410064529,5.410064529,5.410064529,5.410064529,5.410064529,4.207827967,4.808946248,4.808946248,4.207827967,1.202236562,1.202236562,0.601118281,1.202236562,1.202236562,1.803354843,1.803354843,1.803354843,1.803354843,1.202236562,27.050322645,1.202236562,1.803354843
"7",55,5.89007309033333,6.65934279833333,6.50444134433333,6.28132986333333,6.19725721733333,7.156535966,6.080082131,4.96852070933333,5.394885069,4.80499934466667,5.229358558,2.33829278333333,1.41674040233333,1.41674040233333,2.03110865633333,1.593505605,1.41674040233333,1.97151854,2.45546786966667,2.33829278333333,2.64547691033333,47.4079245566667,1.299565316,2.72954955633333
"8",65,10.123472568,8.858038497,7.592604426,8.858038497,8.858038497,10.123472568,10.123472568,7.592604426,7.592604426,7.592604426,10.123472568,2.530868142,1.265434071,3.796302213,3.796302213,2.530868142,3.796302213,5.061736284,5.061736284,5.061736284,2.530868142,82.253214615,2.530868142,3.796302213
"9",85,6.179430108,6.86230469066667,6.62074234333333,5.75902410233333,4.068087671,5.638507632,7.60350646133333,6.12110292,7.60350646133333,6.98335056766667,7.84506880866667,1.4427868325,1.315944045,1.92810727766667,2.05714581566667,0.832819350333333,1.75725628033333,2.74002039833333,3.33127740133333,1.574021121,1.66563870066667,70.7896447783333,1.20342023566667,2.59007563066667
"10",95,5.202984762,4.624875344,4.624875344,4.624875344,4.046765926,4.624875344,4.046765926,5.202984762,4.624875344,4.046765926,3.468656508,1.156218836,1.156218836,1.156218836,1.734328254,1.156218836,1.156218836,1.734328254,1.734328254,1.734328254,1.156218836,54.92039471,1.156218836,2.312437672
"11",125,5.561628776,5.561628776,5.561628776,5.561628776,6.256832373,5.561628776,6.256832373,6.95203597,6.256832373,6.256832373,4.866425179,NA,NA,NA,NA,NA,NA,NA,2.085610791,NA,1.390407194,86.900449625,0.695203597,4.171221582
"12",175,8.955967383,7.960859896,4.975537435,4.975537435,5.970644922,7.960859896,7.960859896,4.975537435,7.960859896,5.970644922,4.975537435,1.990214974,1.990214974,2.985322461,1.990214974,0.995107487,2.985322461,2.985322461,3.980429948,3.980429948,1.990214974,174.143810225,0.995107487,2.985322461
"13",250,2.48847756,3.483868584,2.986173072,3.483868584,2.986173072,2.986173072,3.981564096,2.986173072,3.483868584,1.493086536,2.986173072,0.497695512,0.995391024,0.995391024,1.493086536,0.995391024,0.995391024,1.493086536,1.990782048,1.493086536,0.995391024,124.423878,0.497695512,1.990782048
"14",350,6.420339104,8.02542388,7.222881492,7.222881492,7.222881492,7.222881492,7.222881492,5.617796716,5.617796716,5.617796716,2.407627164,1.605084776,1.605084776,3.210169552,1.605084776,0.802542388,3.210169552,3.210169552,3.210169552,2.407627164,1.605084776,280.8898358,0.802542388,3.210169552
