"","agri","forest","traffic","water","building","gov","leisure","mine","other","a1","a2","a3","a4","a5","a6","b1","b2","b3","b4","b5","b6","b7","b8","b9","c1","c2","c3","c4","c5","c6","c7","c8","c9"
"agri",1,-0.237666522626739,-0.433158269235551,-0.319984497313804,-0.358843483044382,-0.243602980659204,-0.461529200925026,0.125243886250152,-0.0362893982951836,-0.243427067140409,-0.348246236609631,0.224260353446864,0.361653038435543,-0.384156439520493,-0.374885567469354,-0.458920690245779,-0.251317952336224,-0.126859515375718,-0.119090374848537,-0.488933355852649,-0.40633144762537,-0.242164016571885,-0.228530097111245,-0.332535882628538,-0.179577109009978,-0.157159673228162,-0.238481969564134,-0.246231568730983,0.128234393600631,-0.163779900142595,-0.266037690482315,-0.267188449670497,-0.0332506723946965
"forest",-0.237666522626739,1,-0.567143811473761,-0.272580990014094,-0.549294836283254,-0.364821061226466,-0.317911641456727,0.101943849603705,-0.0157196975441451,0.204105665476058,0.180853923178487,-0.14207723678578,-0.217153098331469,0.0807008697729294,-0.063264397126853,0.129346395415047,-0.00339233784298907,-0.102720041030917,0.127124108406255,0.257076666187117,-0.0876767355437898,0.100104079520892,-0.0288060165059081,0.125462254326816,0.156960205960115,-0.179179475616524,-0.0240813685563074,0.408202935705056,0.216667276249883,-0.3169631901917,-0.0270113790831041,0.113869205494589,0.22835799768511
"traffic",-0.433158269235551,-0.567143811473761,1,0.626840650524815,0.887489428087977,0.444199446862582,0.705165874693081,-0.217873992534157,0.139379187412136,-0.0807326709132384,0.305344979159084,-0.166713249943509,-0.232012474083959,0.232906231910825,0.448510960186274,0.28579873693433,0.140473137704213,0.165414712830973,0.0239180693961376,0.250832030683767,0.30186146113178,0.232547764543739,0.424898376976711,0.270552248278817,-0.0150065559037949,0.235712260743858,0.0442338209792701,-0.232332465238968,-0.277980727176566,0.325128909414357,0.0926657560480096,0.0674395079789401,-0.223218803911459
"water",-0.319984497313804,-0.272580990014094,0.626840650524815,1,0.432327695216631,0.226110164709884,0.546217852388882,0.0218299468509419,0.152152339849738,-0.473706699624221,0.177321206487158,0.0580943093768931,-0.0599219164237839,-0.00513648722447108,-0.0272924975211636,0.0517793189285837,-0.0735744632850824,0.0156819599532133,0.0433883783527907,0.0535823198913094,-0.1133316753127,-0.0485013656233525,0.322789799284854,0.130698645439272,0.212200317518794,0.236438637548664,0.102690428881032,0.121787910775619,0.0810977481010686,0.189909844588554,0.0202314951690305,-0.102349620432565,-0.0281042269429078
"building",-0.358843483044382,-0.549294836283254,0.887489428087977,0.432327695216631,1,0.454537618207774,0.596472570317041,-0.0870650633620614,0.228850199707308,-4.07318235957613e-05,0.355091035684936,-0.277280710932686,-0.356971887893328,0.330248013218657,0.458682609497373,0.309968234923747,0.202036489739743,0.333898155054156,0.0771511155808502,0.237428268593926,0.354719677000234,0.319641279902089,0.446142856669371,0.245008670420494,-0.0740556887712037,0.172260773252706,0.0137454793511505,-0.277028867202019,-0.267807966430569,0.284769930259991,0.0214374181127576,0.029338857832748,-0.160127776312659
"gov",-0.243602980659204,-0.364821061226466,0.444199446862582,0.226110164709884,0.454537618207774,1,0.339559809794896,0.059905784538317,0.0570796788008526,0.163288084272285,0.227522311059473,-0.205986319135299,-0.195908375911226,0.24669113955483,0.251497048537519,0.234345807723965,0.219613062949979,0.174856989526239,0.0507435075184016,0.0346602563581694,0.117798402644271,0.119195217689322,0.295003214079779,0.115955359850278,-0.219615382042885,0.10919328272136,0.15424387005908,-0.130468238810549,-0.0404684923607284,0.0774694231586719,-0.0765369376666552,-0.225449816816115,0.264466134304594
"leisure",-0.461529200925026,-0.317911641456727,0.705165874693081,0.546217852388882,0.596472570317041,0.339559809794896,1,-0.230308641694511,0.195096398196056,-0.155591414256613,0.412368648597297,-0.139551692814576,-0.38655896908538,0.194163164478974,0.278586928156022,0.26554512559694,-0.0731954063143043,0.0218927952039923,-0.130227314625164,0.196961561815071,0.328960484456665,0.19415769752484,0.262265465391607,0.200842078392244,-0.0166706606009138,0.125721541872579,-0.0503051178732216,0.00869322528739605,-0.0785117680629128,0.262016630753993,0.143525312249384,-0.0138294515579937,-0.182486159065804
"mine",0.125243886250152,0.101943849603705,-0.217873992534157,0.0218299468509419,-0.0870650633620614,0.059905784538317,-0.230308641694511,1,0.429411316177584,-0.28126873363802,0.0359622196854932,-0.155480292486083,0.0356982871719406,0.0983552785444257,-0.0728381049473709,-0.0328585494497928,-0.132856020129183,-0.125594721740561,-0.123429921457147,-0.0398452967178212,-0.178739246616836,-0.00385037667529703,0.0546176933115771,-0.000938725996118016,0.230366148897511,0.422145026852508,0.334909280530734,0.163331535768412,0.28030328972561,0.133911632083388,-0.00668095511846529,-0.0300938503176138,0.27276222752085
"other",-0.0362893982951836,-0.0157196975441451,0.139379187412136,0.152152339849738,0.228850199707308,0.0570796788008526,0.195096398196056,0.429411316177584,1,-0.226667246862978,0.135033187109163,-0.289359671820057,-0.31245199229391,-0.012555886037639,0.195379908861548,-0.0667117176986829,-0.281744460002935,-0.0654631516788166,0.0918972801063929,0.126835593380115,0.126387533585573,0.240234763219334,0.360747473299895,-0.0605710038527297,0.210239990888856,0.418801642999825,0.205778179342368,0.25383061863107,0.195608489769133,0.254878050971552,0.351905144949251,0.256701319054827,0.21549722038911
"a1",-0.243427067140409,0.204105665476058,-0.0807326709132384,-0.473706699624221,-4.07318235957613e-05,0.163288084272285,-0.155591414256613,-0.28126873363802,-0.226667246862978,1,0.300020022658627,-0.273312763345185,-0.427196347067464,0.373270501648755,0.436516081068094,0.292314268724151,0.183735764306845,0.141005851812777,0.0778235952699471,0.454504450282278,0.432112270242035,0.403681952245243,0.132429878659542,0.26166100427242,-0.160464381269901,-0.208212874616507,0.138063579951297,0.0255464244533248,-0.270676737001459,0.189969401104738,0.138630939122986,0.333816059581317,0.108989372789963
