"v1","v2","v3","v4","v5","v6","v7","v8","v9","v10","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22","v23","v24","v25","v26","v27","v28","v29","v30","v31","v32","v33","v34","v35","v36","v37","v38","v39","v41","vI1","sexgp","agegp","edugp","weight","t"
21,1,1,1,1,2.88,0,6.51,6.32,6.45,6.63,6.62,8,8,8,6.68,6,6,9,6,3,7.2,0,0,0.1,0,0,0,0,0,2.2,1.85,2.45,2.83,2.37,2.66,2.93,2.81,2.47,5,0,2,6,1,1.062808121,65000020
45,1,6,5,1,3,6.39333333333333,3.34,2.33,6.46,6.25,6.65,6.28,5.39,5.65,6.4,5.64,6.03,6.49,6.36,3,6.87,0,0,0,-3.92394450265954e-17,-3.12250225675825e-16,0,0,0,1.96,1.88,2.27,2.71,1.91,2.55,2.96,2.92,2.27,5,0,1,5,1,1.402788537,66000080
14,2,1,1,1,1,1,4.9,3,3,5,3,3,3,3,3,5,3,2,2,3,3.45,0,0.1,0,0,0,0,0,0,2.3,3,2,2.74,2.47,2.42,2.72,3,3,5,0,2,6,1,1.429270665,66000270
35,1.35,1,2,1,2,0,7.2,7.06,3,3,4,0,0,4,3,4,0,5,8,3,3.73,0,0,0,0,0,0,0.11,0,1,1.36,1.51,2,1.73,2,3,2.72,3,2,0,1.55,6,1,1.284997909,43253331.4
45,1,2.95,3,3,3.04,5,3.32,2.38,5,5,8,10,10,8,8.8,10,10,8,10,1,10,0,0,0,0,0,0,0,-5.68555619251399e-17,2.19,2.02,2.38,2.875,2.32,2.66,2.88,2.94,2.45,5,15,2,5,1,0.906260114,10007100
23,2,1,1,1.62,2.4,3.08,4.9,4.91,2.63,3.8,3.18,3,3.05,3.21,3.79,3.64,3,3,0,1,0,0,0,0,0,0,0,0,0,2.43,2.15,2.69,2.95,2.39,4,2.99,4,2.64,5,5,2,6,1,1.00851551,10008040
43.45,2,2,4,3.15,2.55,0,5.71,5.48,0,6,8,8,6,10,0,8,7,10,7,1,10,0,0,0,0,0,0,0,0,1,1.4,1,3,1.82,1,3,3,1,3,15,1,5,1,1.202562428,10013080
37,2,1,2,2,3.15,6,5.13,5,7,7.61,10,8,8,8,8,7,6,6,8,1,8,0,0,0,0,0,0,0,0,2.21,2.18,2.9,3,2,3,3,3.03,2.83,2,15,2,6,1.12,1.185014299,67000180
35,1,6,2,3,2,10,3.24,0,0,10,10,2,2,2,1,3,3.37,3,3,1,5,0,0.06,0,0,0,0,0,0,2.025,1.77,2.29,3,2.19,2.3,2.57,3,3,2,19.85,2,6,1,1.444237395,36044577.5
27,2,1,2,1,2.12,4.74,5.14,5.33,4.65,5,4.78,4,3.94,4.63,4.91,4.78,5,5,5.02,3,4.67,0,0,0,0.00999999999999996,0,0,0,0,1.89,1.93,2.12,2.28,2.12,2.33,2.45,2.175,2.29,5,5,2,6,1.07,1.27752658002,10002070
17,1.51,1,2,1.89,2.9,6.41,2.95,0,5.76,5,5,5,3,3,5,8,8,6.86,8,3,7.215,0,0,0,-5.01682029252493e-17,0,0,0,0,2.8,2.46,2.91,3,3,3,3,3,3,5,5,1.75,6,1,1.062808121,65000210
22,1,2,2,2,4,5.59,4.76,4.28,6,5.58,6,4,4,7,5,6,5,4,4,3,5.22,0,0,0,0,0,0,0,0,2.90333333333333,2.81,2.92,2.98,3,3,3,3,2.98,5,5,2,6,1,1.062808121,65000030
36.01,1,5,3,2.01,3,10,1.51,0,10,5,10,6.74,5,5,10,5,10,5,8,2.38,7.43,0.0399999999999998,0,0,0,0,0,0,0,4,3,3,3,2.49,3,4,3.13,3,2,5,2,6,1,1.062808121,65000050
29,1,3,5,2,2,7.56,2.8,1.96,8,6.59,8,6,3,7,7.04,8,6.23,6,7,3,6.81,0,0,0,0,0,0,0,0,2,2,2,3,2,2,3,2,2.29,2,5,2,6,1,1.070431205,68000010
20,2,2.14,1,1.89,2.508,5.23,4.64,4.235,5.25,5.44,5.45,5.22,5.37,5.42,5.67,5.56,5.91,5.9,5.58,3,5.7,0,1,0,0,0,0,0,0,2.09,1.73,2.08,2.45,3,2,2,3,2,1,15,1,6,2,0.695203597,65000170
22,1.08,2,2,3,3.15,8,5.4,8,8,8,8,9,8,8,8,8,7.71,8,8,3,8.16,0.0799999999999998,0,0,0,0,0,0,0,2.07,1.96,3,2.87,2.33,3,2,2.5,3,2,5,1,6,2,0.868160703,10004020
38,1.05,2,2,2,2,5,4,3.77,6.24,6.02,6.31,6.01,5.93,7,6.68,6.23,6.25,6.15,6.76,3,6.63,0,0,0,0,0,0,0,0,2,1,2.23,2.77,3,2,3,3,2.23,2,15,1,6,1,1.21473841329,10009010
16,1.45,1,2.18,1,2.47,5.92,5.3,4.72,5.2,5.38,5.55,5.63,5.13,5.72,5.7,5.48,6.14,6.32,5.76,3,6.445,0.0499999999999998,0.1,0,0,0,0,0,0,2.08,1.99,2.36,2.63,2.32,2.66,2.89,2.64,2.54,5,5,2,6,1,1.057309956,10007200
32.51,1,2,2,2.02,3.09,5.74,5.44,4.51,5.91,5,5,5,7,10,7,7,7,7,7,3,7.19,0,1,0,0,0,1,0.28,0,2.39,1.88,2.41,2.77,2.38,2.95,4,3,2.47,5,5,2,6,1,1.03935349,10009180
18,1,2,1,2,2.31,0,6.87,6.42,3.34,3.25,4.73,0,2.71,3.86,4.43,4.21,3.16,3.85,4.13,3,3.61,0,0,0.00999999999999997,0,0,0,0,0,1.97,1.92,2.1,2.36,2.27,2.12,2.5,2.63,2.45,2,5,1.64,6,1.05,1.16978497885,10007190
28,1,4,3,2.02,2,8,5.3,5,8,5.88,6,5.85,4.99,5.75,5,5,5,5,5.45,3,5.73,0,0,0,0,0,0,0,0,1,1.14,1,1,1.66,2.1,3,2,1,5,15,1.62,6,1.3,1.29228184731,44933261.9
30,1,3.51,2,2.68,3,8.15,2.62,1.55,10,8.55,8.89,7.83,10,8.16,10,5,8.69,8.8,10,3,8.97,0,0,0,1,0,0,0,0,1,1,1,2,2,2.07,1,1,1.96,2,5,2,6,1,1.03935349,10009050
27,1,1,1,2.12,2,5.75,5.36,4.24,6,5.914,6.37,8,5.57,5.45,6,6.01,6,6,7,3,6.265,0,0,0,-4.97865637605344e-17,0.00999999999999974,0,0,0.00999999999999996,3,1,2,3,3,3,3,3,1,5,15,1,6,1,1.772020815,44263508.1
31.7566666666667,1,1,2.58,1,2.67,0,6.64,6.05,5.12,5,5,5.33,4.78,5.24,5,5.72,10,6.39,10,3,6.45,0,0,0,-3.90312782094782e-17,-2.60000354579404e-16,0,0,0,2.58,2.2,2.86,2.96,2.57,4,3.3,3.11,2.83,5,5,2,5.78,1,1.225264646,10013110
25,2,1,2.14,1,2.38,3.17,4.84,5.17,3.53,4.02,4.18,3.66,3.02,3.91,4.03,4.2,0,3.77,4.29,3,3.63,0.00999999999999983,0,0,0,-2.55628851419942e-16,0,0.00999999999999989,0,1.95,1.81,2.03,2.3,2.19,2.25,2.37,2.48,2.47,5,5,2,6,1,1.185014299,37623610.9
34,2,1,1,4,3.33,9,8,3.44,8.52,10,9,7,8.23,8.33,9,9,8.58,8.77,8.2,3,8.7,0,0,0,0,0.0299999999999999,0,0,0,2.92,3,3,3,2.65,4,4,4,3,2,5,2,6,1,1.286728981236,10020010
57,1,2,2,1,3.67,5,0.81,0.75,10,10,10,8.99,10,10,10,10,10,10,10,1,10,0,0,0,0,0.00999999999999986,0,0,0,3,3,3.02,3,2.78,3,4,4,3,5,27.9,2,4,1,1.011998995,65000050
35,2,1,2,3,2.64,5,6.06,4.92,6.145,6.12,8,8,5,5,5,5,8,5,10,3,6.12,0,0,0,0,0,0,0,0,3,3,3,3,3,3.02,3,2.95,3,2,25,1,6,1,1.51974303,10004010
48,1,6,2,6,4,8,2,1.13333333333333,8,8,8,8,8,8,8,9,8,9,5,1,8,0,0,0.23,0,0,0,0,0,1,1,2,1,1,3,3,3,1,2,35,1,5,3,0.451224788,68000110
41,1.32,1,1,3,2.52,6,2.55,0,5.65,5,6,5.85,5,5,7,6.17,6,7,5,1,8,0,0,0,0,0,0,0,0,1,2,2.07,3,2,1,2,2.17166666666667,3,2,25,1.5,5,1,1.037719672,10007190
48,1,6,2,5,2.85,4.63,5.76,10,5,6,10,0,0,6,8,2,10,10,5,1,6,1,0,0,0,0,0,0,0,1.75,1,1.48,1,1.86,2.285,4,4,1,2,55,1,5,1,1.402788537,66000160
16,1,3,6,1.73,2.84,6.13,4.49,3.73,6.28,5.98,6.24,5,5.49,5.67,6,5,5.88,6.38,5,3,6.545,0,0,0,0,0,0.00999999999999989,0,0,2.11,1.87,2.27,2.64,2.27,2.44,2.88,2.76,2.49,5,11,2,6,1,1.12553203688,68000010
24,1,3,1,2,2,8,1.74,0,8.38,6,8,9,8,8,9,9,9,8,9,3,8.495,0,0,0,0,0,0,0,0.00999999999999993,2,2,2,2,2.06,2,3,3,3,3.39,14.05,2,6,1.19,1.18324934325,10007100
30,1,1,2,1,2.33,3.43,5.47,4.93,3,4.13,3,4,3,3,4,3.79,3,4.28,5,2.69,4.19,0,0,0,0,0,0,0,0,1.67,1.51,1.71,2.28,1.95,2,2.45,2.52,2.27,2,7.35,2,6,1,1.547539118,64000030
35,1,2.5,5,1,2.31,0,7.19,6.72,3.28,0,3.82,0,1.74,3.42,3.33,4.1,2.71,4.04,4.51,3,3.73,0,0,0.03,0,0,0,0,0,1.93,1.9,2.07,2.21,1.93,2.08,2.49,2.38,2.46,5,7.1,1.79,6,1,1.003922549,10010060
56,1,2,2,1,1,0,4.75,3.68,10,8.19,10,8,10,8,6,3,10,10,10,3,8.85,0,0,0,0,0,0,0,0.00999999999999996,1.8,1,2,1,2,1,3,2,2,3,74.85,1,4,3,0.724687042,64000050
61.46,1,3,5,2,2,8,2.19333333333333,0,8,5,8,5,7,8,8,8,7,7,7,2.43,7.54,0,0,0.05,0,0,0,0.13,0,2,2,2,2,1.89,2,2,3,3,2,0,2,2,1,1.48547697405,68000030
42.29,1,6,6,6,1,10,0,0,10,10,10,10,10,8.21,0,10,10,10,10,3,9.16,0.17,0,0,0,0,0,0,0.00999999999999995,2,2,2,2,2,3,3,3,3,2,0,2,5,1,0.917506831,68000020
89,1,2,2,5,4,10,0,0,9,10,9,8,8,9,10,10,8,9,9,3,8.67,0,0,0.08,0,0,0,0,-5.79397640976254e-17,3,3,3,3.26,2,3,4,4,3,1,0,1,1.05,2,1.525487389,68000040
89,1,2,3,2,4,10,0,1,8,10,9,5,4,7,7,5.975,5,3,7,3,6.78,0,0,0,0,0.0499999999999999,0,0,0,2,3,3,3,1,1,4,4,2,1,0,2,1.37,2,1.322749303,65000140
60,1.37,2.27,4,1,2,2,0,0,3.45,10,3.41,5,2.84,0,3.54,0,0,0,0,2.08,3.89,0,0,0,0,0,0,1,0,1,1,1,1,2,3,4,3,1.78,1,0,1.56,3.37,2,0.793833719,65000210
43,1,2,2,3,4,10,0,0,10,10,10,5,5,5,5,10,5,10,6.93,3,7.75,1,1,0.32,0,0,0,1,0,3,2,3,3,2.23,2,3,4,3,2,0,1.57,5,2.22,0.595885141,65000160
41,1,2,2,1,1,7,0,0,8,7,8,8,7,6,10,9,10,8,7,2.13,7.896,0,0.03,0,0,0,-9.23566778610052e-17,0,0,3,1,1,2.65,2,3,4,4,2,2,34.55,1,5,2,0.71481832666,65000140
45,1.02,3,2,1,4,8,2.9,0,5,5,6,7,4,7,6,5,4,6.19,5,3,6.295,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,2,2,0,2,5,2,0.70989118546,65000010
73,1,4,4,1,4,10,0,0,10,9.58,10,10,9.66,10,10,10,10,10,10,3,9.73,0,0,0,0,0,0,0.25,0,3,2,3,4,2.45,3,3,3.26,3,2,0,2,2,3,1.119777158,49499599.4666667
63,1,1,5,1,3.48,10,0,0,8,10,10,8,10,8.75,10,8,8.6,10,10,3,8.45,0,0,0,0,0,0,0.19,0,1,1,3,1,1,3,4,3,1,2,0,2,3,3,1.265434071,63000030
47,1,2,3,3,2,10,0,0,10,10,10,10,10,10,10,10,9,10,10,3,9.41,0,0.06,0,0,0,0,0,0,1,1,1,1,1,1,1,1.99,1,5,0,2,5,1,0.906260114,10007080
52,1,6,2,3,4,4,0,0,7.26,7.22,7,6,6,8,8,7.05,8,7.4,8,2,7.78,0,0,0,0,0,0,1,0,2,2,3,3,2,3,3,4,4,5,0,1,4,2,0.890218968,66000180
57,1,2,3,2,4,8,0,0,8,6,8,10,8,6,7,8,7,7,8,3,7.65,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,4,2,2,26.45,2,4,2,0.575118717,10007030
39,1,2,4,3,4,7,1.59,0,7,5,6,8,6,9,9,6,7,10,5,2,7.725,0,0,0,0,0.0399999999999999,0,1,0,2,2,2,3,2,2,3,3,3,2,0,1.59,6,2,0.816477917,66000090
49,1,6,5,2,4,8,1.81,0,8,8,8,7,7,7,7,5,7.255,8,8,3,7.85,0,0,0,0,0,0,0,0,2,2,2,2,3,2,4,3.21,2,2,0,2,5,3,0.6645209813,10008030
37.53,1,3,2,2,4,7,0,0,6,7,6,8,8,8,7,8,6.7,9,8,3,7.52,1,0,0,0,0.11,0,0,0,2,1.44,1,1,1,3,2,3,1,2.52,0,1,6,3,0.78364905624,66000130
52,2,6,2,3,2,8,0,0,5,5,5,5,3,3,5,6,3,3,6,2,5.9,0,0,0.03,0,0,0,0,0,1,1,1,1,3,1,3,2,1,2,0,1,4,1,1.335925694,10013040
48,1,2,5,2,4,10,0,0,10,7,8,7,8,7,8,8,8,8,7,3,8.01,0,0,0,0,0,0,0,0,3,2,3,4,3,4,4,4,4,2.42,0,1,5,1,1.163057856,67000200
88,1,2,2,4,4,7,0,0,7.4,8,6,5,6,7,5,8,6.7,8,9,3,7.13,0,0,0,0,0,0,0.14,0,3,1,3,3,3,3,2.97,2,2,1,0,1.66,1,1.95,1.630052483,10020010
80,1,3,2.84,1,4,5,3.14,0,7,6,7,3,6,5.65,8,5,7,7,7.15,2,6.65,0,-3.98986399474666e-17,0,0,0,0,1,0,3,3,3,3,2.11,2,3,3,2,1,0,2,1.46,2.79,1.44807418,64000050
72,1,2,5,2.48,2,8,0,0,8,6.8,7.08,8,6,6,6,5,5,5,6.42,2,6.37,0,0,0,0,0,0,0.35,0,3,3,3,3,1,3,3,4,2,1,24.65,2,2,2.77,1.618879333,64000120
65,1,3.74,4,2,4,8,0,0.72,8,8,7,7.8,8,9,10,8,8,6,7,3,7.63,0,0.02,0.08,0,0,0,0,0,3,3,3,3,2,2,3,3,3,2,0,2,3,3,0.665464306,67000350
63,1,2,4,4,4,8.79,0,0,8,10,7,10,8,9,8,9,8,10,7.93,2.19,8.35,1,0,0,0,1,0,1,-4.97085012041154e-17,2,1,2,2,2,3,3,4,3,2,0,2,3,3,0.78737598103,67000210
50.17,2,2,1,1,2,10,0,0,3,4.94,5,5,0,5,4,0,4,6.3,3,1,10,0,0,0,0,0,0,0,0,2,1,1,1,1,2,2,3,1,1,15,1.4,5,1,1.417296067,10017010
84,1,3.61,3.49,1,2,8,1.51,0,8,7,7,8,7,7,8,7,6,7.25,7.5,1,8,0,0,0.02,0,0,-1.18724474695853e-16,0,0,3,3,3,3.05,3,3,3,3.19,2,1,21.4,2,1,2,1.322749303,65000070
58,1,2,2,3,2,8,0,0,8,10,8,8,8,7.88,8,8,8,5,7.68,1,8,0,0,0,0,0,0,0,0,2,2,3,3,2,3,3,2,2.25,2,15,2,4,2,0.578109418,65000060
50,1.19,5,2,3,2,10,0,0,10,4,8,8,6.91,6,10,8,4,6,10,1,10,0,0,0,0,0,0,0,0,1,1,1.64,4,2,1,1,2,1.87,2.45,15,1.6,4,2,0.91359986846,63000020
46.14,1,3,2,4,4,8.3,1.64,0,10,7.81,9,10,5,5,4,8,10,10,6,1,8,0.0599999999999999,0,0,0,0,0,0,0,1,1.43,1,3,1.68,3,3,2.71,2,2.38,15,1,5,2,0.809637369,10017060
48.14,1,3.09,2,6,2,8,0,0,8,8,7,8,7,8,6.86,6,6.75,6,7,1,8,0,0,0,0,0,0,0,0,1,1,1,3,2,1,2,1,3,5,15,2,5,2,0.839150056,10018020
44,1,4,5,1,4,9,0,0,7,8,7,6.83,7.122,7.57,8,8,7,7,7,2.34,8,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,1.83,5,5,2,5,2,0.520397705,53912293.6
47,1,4,5,3,4,10,0,0,9,9,8,8,8,9,7,8,7.88,9,8,1,9,0,0,1,0,1,1,1,0,1,1,2,2,1,2,3,2.44,2,2,15,1.63,5,2,0.69787574062,65000090
58,1,6,3,4,4,10,0,0,7,8,8,7.6,6,10,8.2,10,7,10,8,1,6,1,0,1,0,1,0,1,0,2,3,3,3,1,1,4,4,3,2,15,2,4,3,0.542781021,10004010
51,1,6,3,2,3.28,6,0,0,8,6,5,5,3,6,5,6,5,7,8,1,5,0,0,1,1,0.11,0,0,0,3,3,3,3,2,3,3,4,2,2,5,1,4,1,1.152802002,10007030
