v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v41,vI1,sexgp,agegp,edugp,weight,t
21,1,1,1,1, ,0, , , , , ,8,8,8,8,6,6,9,6,3, ,0,0,0,0,0,0,0,0, , , , , , , , , ,5,0,2,6,1,1.062808121,65000020
45,1,6,5,1,3,0, ,10, , , , , , , , , , , ,3, ,0,0,0,0,0,0,0,0, , , , , , , , , ,5,0,1,5,1,1.402788537,66000080
14,2,1,1,1,1,1, ,3,3,5,3,3,3,3,3,5,3,2,2,3, ,0,0,0,0,0,0,0,0,3,3,2, , , ,3,3,3,5,0,2,6,1,1.429270665,66000270
35,2,1,2,1,2,0, , ,3,3,4,0,0,4,3,4,0,5,8,3, ,0,0,0,0,0,0,0,0,1,1,2,2, ,2,3, ,3,2,0,2,6,1,1.284997909, 
45,1,6,3,3, ,5, , ,5,5,8,10,10,8,8,10,10,8,10,1,10,0,0,0,0,0,0,0,0, , , , , , , , ,3,5,15,2,5,1,.906260114,10007100
23,2,1,1,3, , , , , , , ,3, , , , ,3,3,0,1,0,0,0,0,0,0,0,0,0, , , , , ,4, ,4, ,5,5,2,6,1,1.00851551,10008040
42,2,2,4, ,2,0, ,10,0,6,8,8,6,10,0,8,7,10,7,1,10,0,0,0,0,0,0,0,0,1,1,1,3,3,1,3,3,1,3,15,1,5,1,1.202562428,10013080
37,2,1,2,2, ,6, ,5,7, ,10,8,8,8,8,7,6,6,8,1,8,0,0,0,0,0,0,0,0, , , ,3,2,3,3, ,2,2,15,2,6,1,1.185014299,67000180
35,1,6,2,3,2,10, ,0,0,10,10,2,2,2,1,3,2,3,3,1,5,0,0,0,0,0,0,0,0, , , ,3, , , ,3,3,2,5,2,6,1,1.444237395, 
27,2,1,2,1, , , , , ,5, ,4, , , , ,5,5, ,3, ,0,0,0,0,0,0,0,0, , , , ,2, , , , ,5,5,2,6,1,.969558969,10002070
