id,city,district,土地面積,水田0101,旱作0102,果園0103,水產養殖0104,畜牧0105,農業相關設施0106,未細分_02森林使用,針葉林0201,闊葉林0202,竹林0203,混淆林0204,灌木林0205,其他森林利用土地0206,未細分_03交通使用,機場0301,一般鐵路及相關設施0302,高速鐵路及相關設施0303,捷運及相關設施0304,國道0305,省道0306,快速道路0307,一般道路0308,道路相關設施0309,港口0310,未細分_04水利使用,河道0401,堤防0402,溝渠0403,水庫0404,湖泊0405,蓄水池0406,水道沙州灘地0407,水利構造物0408,防汛道路0409,海面0410,未細分_05建築使用,商業0501,純住宅0502,混合使用住宅0503,製造業0504,倉儲0505,宗教0506,殯葬設施0507,其他建築用地0508,政府機關0601,學校0602,醫療保建0603,社會福利設施0604,公用設備0605,環保設施0606,未細分_07遊憩使用,文化設施0701,公園綠地0702,休閒設施0703,礦業及相關設施0801,土石及相關設施0802,鹽業及相關設施0803,未細分_09其他使用,溼地0901,草生地0902,裸露地0903,營建剩餘土石收容相關設施0904,空置地0905
98,臺南市,七股區,11014.92,13.35,2314.87,55.87,4580.64,25.93,21.09,0,0.17,259.63,0.85,0,0.06,1.66,0,0,0,0,0,0,24.36,32.07,368.36,8.24,1.65,0,392.9,86.39,624.15,0,0,318.5,36.93,0.28,23.05,1807.64,0,20.41,204.12,2.16,75.92,37.15,22.46,38.79,12.49,42.65,70.06,0.03,12,6.8,2.94,0,5.05,18.48,28.08,0,3.94,1295.8,0,284.12,33.35,257.5,0.85,783.14
346,澎湖縣,七美鄉,698.68,0,79.77,3.82,6.06,2.67,0.2,0,2.39,251.22,0,0,0,0,0,10.75,0,0,0,0,0,0,38.64,1.33,3.31,0,0,5.27,2.13,11.25,0,1.39,0,0.53,0,28.33,0,1.53,25.45,0.11,0.02,1.96,4.66,15.55,5.48,0.97,4.58,0,0.76,2.01,1.32,0,0.41,8.2,0.7,0,3.59,0,0,0,4.2,77.23,4.15,131.4
348,基隆市,七堵區,5626.59,0,218.45,34.9,0.22,1.57,3.82,0,0,3878.75,384.41,0,0,0,0,0,36.85,0,0,48.36,14.19,15.95,150.92,69.21,0,0,95.84,29.34,2.07,0,0,4.41,0.2,1.93,0,0,0,60.41,113.14,25.59,46.81,62.03,10,25.27,10.5,14.22,20.11,0.11,2.17,61.77,5.93,0,0.15,14.65,4.1,0,2.88,0,0,0,47.05,0.79,0,102.73
286,屏東縣,九如鄉,4201.87,111,1097.84,797.39,465.44,120.61,28.17,0,0,115.63,0,1.75,1.99,0,0,19.47,0,0,0,24.5,19.56,0,165.87,15.19,0,0,235.26,37.24,45.19,0,0,11.82,234.49,0.07,4.61,0,0,36.86,191.58,4.15,47.35,28.07,12.99,12.62,8.98,0.79,13.18,0.04,1.29,1.64,10.1,0,0.16,14.07,2.4,0,0.62,0,0,3.16,139.19,0,0.18,228.16
221,彰化縣,二水鄉,2944.49,729.31,360.97,535.21,1.07,3.73,11.37,0,0.77,983.77,105.34,0,0.54,0,0,0,17.56,0,0,0,0,0,108,1.43,0,0,82.43,6.11,46.72,0,0,1.85,182.54,0.49,28.57,0,0,6.83,137.29,3.42,16.29,8.31,5.89,6.88,3.83,0.55,7.96,0.03,1.41,1.6,1.07,0,0.66,6.1,4.3,0,2.46,0,0,0,96.5,0,0.2,37.53
209,彰化縣,二林鎮,9284.78,3109.06,3152.14,520.87,35.55,164.11,49.58,0,0.07,86.31,15.75,0,0,0,0,0,0,0,0,0,0,0,446.82,20.63,0,0,24.11,1.09,163.73,0,0,25.95,0,0.14,0,0,0,36.96,438.92,12.88,66.03,46.67,17.7,47.65,23.64,13.53,40.54,5.21,4.36,3.81,8.01,0,2.39,12.51,3.74,0,0.41,0,0,0,18.26,0,0.29,600.34
251,雲林縣,二崙鄉,5956.25,2305.15,2093.74,43.96,13.79,132.45,47.64,0,0,143.96,7.1,1.7,0,0,0,0,0.1,4.77,0,0,16.74,0,299.22,1.81,0,0,134.62,23.14,79.52,0,0,12.37,115.06,0.47,25.43,0,0,14.66,316.74,3.37,18.52,13.92,10.74,19.18,15.72,1.17,21.15,0.2,2.53,2.12,8.94,0,0.19,20.35,3.3,0,2.29,0,0,0,15.32,0,0.24,84.54
23,新北市,八里區,3949.33,2.34,451.44,161.45,0,4.43,6.33,0,0,1260.78,104.94,0,0,0,0,0,0,0,0,0,26.96,15.79,169.66,31.02,65.47,0,465.03,5.52,4.17,0,0,7.22,3.13,0,0.21,103.78,0,33.98,84.84,15.03,100.1,51.45,9.56,334.93,10.73,5.04,18.21,0.53,9.98,1.96,64.07,0,1.25,78.86,35.69,0,5.19,0,0,0,27.92,14.23,0,181.94
49,桃園市,八德區,3371.11,520.18,484.97,28.18,22.25,7.73,140.11,0,0,87.6,6.01,0,0,0.17,0,0,2.45,0,0,20.03,15.46,0,280.92,56.54,0,0,22.7,0,15.28,0,0,81.06,0,0.07,0,0,0,109.78,388.09,82.82,288.92,67.66,12.65,19.85,28.45,169.78,57.57,0.93,10.62,4.78,20.34,0,0.92,45.47,16.22,0,17.12,0,0,0,0.8,0,0,245.13
125,高雄市,三民區,1978.66,9.8,7.03,8.88,0,0.29,0.2,0,0,6.99,0.16,0.16,0,0,0,0,30.04,0,0.22,26.96,28.32,0,352.11,88.08,0,0,13.23,0,7.54,0,0,0.15,0,0.29,0,0,0,78.31,337.08,214.77,41.26,16.6,17.71,31.71,13.01,7.29,120.01,2.46,5.31,11.75,6.4,0,16.28,106.51,16.35,0,0,0,0,0,0,0,0,71.96
