"","sexgp","variable","value"
"1",1,"v20",7.30639696376414
"2",2,"v20",6.39007001584534
"3",1,"v19",7.07855436620735
"4",2,"v19",6.27846287152671
"5",1,"v18",6.55105281813496
"6",2,"v18",5.90485961508176
"7",1,"v17",6.65723194051582
"8",2,"v17",5.91814588659609
"9",1,"v16",7.69192416246029
"10",2,"v16",6.55450611939171
"11",1,"v15",7.19148867603965
"12",2,"v15",6.42773090843593
"13",1,"v14",6.46528717972132
"14",2,"v14",5.96244764566604
"15",1,"v13",7.23054134755735
"16",2,"v13",6.1874016392163
"17",1,"v12",7.25333358010522
"18",2,"v12",6.48028904921608
"19",1,"v11",7.22691085808696
"20",2,"v11",6.51853575610894
"21",1,"v10",6.92031131243593
"22",2,"v10",6.3443479473241
"23",1,"v9",2.59597090837187
"24",2,"v9",2.09378174848833
"25",1,"v8",3.67643431824779
"26",2,"v8",3.00758019563901
"27",1,"v7",7.27849126079412
"28",2,"v7",6.58970365628491
