"","TOWNCODE","v39","v38","v37","v36","v35","v34","v33","v32","v31","v22","v20","v19","v18","v17","v16","v15","v14","v13","v12","v11","v10","v9","v8","v7"
"1",10002010,2.17647058823529,2.94444444444444,3.05555555555556,2.55555555555556,2.0625,2.76470588235294,2.82352941176471,2.25,2.1875,6.75,7.61111111111111,6.11111111111111,6.52941176470588,6,7.05555555555556,6.83333333333333,6.55555555555556,6.66666666666667,7.05555555555556,7.55555555555556,7.5,1.77777777777778,3.33333333333333,6.66666666666667
"2",10002020,2.16666666666667,3.66666666666667,3.33333333333333,2.83333333333333,2.16666666666667,2.83333333333333,2.33333333333333,2,1.8,7.66666666666667,8,6.66666666666667,7.5,8.16666666666667,8.66666666666667,7,7.5,5.83333333333333,8,8.66666666666667,7.33333333333333,2.5,3.33333333333333,7.83333333333333
"3",10002030,2.66666666666667,2.66666666666667,2.66666666666667,2.16666666666667,2,2.66666666666667,2.5,1.83333333333333,2.16666666666667,6.33333333333333,6.33333333333333,6.16666666666667,7.33333333333333,6.5,7.33333333333333,7,5.83333333333333,6.5,7,7.16666666666667,6.83333333333333,3.66666666666667,4.33333333333333,6.5
"4",10002040,1.75,2.5,2.75,2.5,2,2.5,2.25,1.75,1.75,8.33333333333333,6.75,8.75,7.5,7.5,7.75,8,7.75,6.75,8.25,6.5,7,2.75,3,5.75
"5",10002050,2,3,2.6,2.6,2.25,2.5,1.5,1.5,2.25,8,9,9,7.8,7.8,8,7.6,7.2,7,7.4,8,8,2,4.2,7
"6",10002060,2.5,2,2.5,3.5,2,3.5,2,1.5,1.5,5,5.5,4.5,6,4.5,7,7.5,6,5.5,6,6,7,1,2,8
"7",10002070,2.16666666666667,2.83333333333333,3.16666666666667,3,2,3,2.6,2.8,2.8,9,8.33333333333333,8.14285714285714,7.14285714285714,8.66666666666667,8.83333333333333,7.33333333333333,7.5,6.42857142857143,8.66666666666667,7.71428571428571,9,1.33333333333333,1.5,8.33333333333333
"8",10002080,2.11111111111111,2.55555555555556,3.11111111111111,2,1.88888888888889,2.88888888888889,2.44444444444444,2.33333333333333,2.11111111111111,8,7.55555555555556,7.55555555555556,6.88888888888889,6.625,8,7.44444444444444,7.33333333333333,7.44444444444444,7.22222222222222,7.44444444444444,7.88888888888889,1.66666666666667,1.66666666666667,7.77777777777778
"9",10002090,1.77777777777778,3,3,2.22222222222222,1.88888888888889,2.22222222222222,2.33333333333333,1.88888888888889,2.22222222222222,6.71428571428571,6.66666666666667,6.44444444444444,5.11111111111111,6.55555555555556,6.44444444444444,6.22222222222222,6.44444444444444,6.66666666666667,6.88888888888889,6.77777777777778,6.44444444444444,2.88888888888889,2.33333333333333,6.88888888888889
"10",10002100,1.5,2.5,2.5,2,2,2,2,2,2,5,8,6,5.5,7,7,6.5,5.5,6,6,4,6,3.5,2.5,6.5
"11",10002110,3,3,3,3,3,2.5,2.5,2.5,1.5,5.5,7,7.5,5.5,6.5,5.5,5.5,4.5,6.5,6,6.5,5.5,7,5,4
"12",10004010,1.96153846153846,3.2,3.11538461538462,2.48,2,2.92307692307692,2.52,2.42307692307692,2.32,7.45,8.23076923076923,6.73076923076923,7.26923076923077,6.57692307692308,7.42307692307692,7,6.5,6.53846153846154,7.69230769230769,7.52,7.2,2.16,3.46153846153846,7.57692307692308
"13",10004020,2,3.25,3.22222222222222,2.66666666666667,2,2.5,2.22222222222222,2.125,1.875,7.33333333333333,7.55555555555556,8.22222222222222,7.25,7.22222222222222,8.55555555555556,7.55555555555556,7.66666666666667,8.22222222222222,7.77777777777778,7.55555555555556,8,2.88888888888889,3.125,7.66666666666667
"14",10004030,2,2.4,3,2.6,1.6,2.8,1.8,2.2,2,6.4,7.6,6,5,5.2,6,6.2,4.8,6,5.8,5.4,6.2,4,3.4,6.2
"15",10004040,2.5,3.66666666666667,3.25,2.66666666666667,2.33333333333333,3,2.66666666666667,2,2.66666666666667,7.5,6.25,7,6.75,6,6.5,6.25,5,5,5.5,5.5,5.75,4.25,4.25,6
"16",10004050,2.33333333333333,3,3.16666666666667,2.75,2.08333333333333,2.66666666666667,2.45454545454545,1.91666666666667,2.33333333333333,7,7.16666666666667,6.91666666666667,6.75,6.91666666666667,7.66666666666667,7,6.66666666666667,7.08333333333333,7.16666666666667,7.25,6.91666666666667,1.75,4.16666666666667,7.5
"17",10004060,2.5,3.5,3.25,2.5,1.5,2.5,2.25,1.75,2.25,7.33333333333333,6.25,7,5.25,6,8,7,5.5,6,6.75,7.5,6.75,2.25,4,7.5
"18",10004070,1.5,2,2.5,2,1,2,1.5,1,1.5,4,7,6.5,4.5,6.5,6.5,8.5,5,5,6.5,6.5,4,6,5.5,6
"19",10004080,2.5,3,3.5,3,2,2.5,2.5,2,2.5,5,5.5,5.5,5.5,6,6.5,5.5,5.5,6.5,5.5,5.5,5,2.5,5,5
"20",10004110,2,1,3,3,1,2,3,2,1,9,9,9,8,8,8,8,7,9,9,5,8,2,2,9
